Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Business-B6006,,Ftes/Ftef,0 Days,All,18.25
2016FA,Business-B6006,,Current Fill Rate,0 Days,All,0.884848485
2016FA,Business-B6006,,Census Fill Rate,0 Days,All,0.884848485
2016FA,Business-B6006,,Census Enrollment,0 Days,All,146
2016FA,Business-B6006,,Number Successful,0 Days,All,97
2016FA,Business-B6006,,Ftef,0 Days,All,0.8
2016FA,Business-B6006,,Ftes,0 Days,All,14.6
2016FA,Business-B6006,,Enrollment Capacity,0 Days,All,165
2016FA,Business-B6006,,Count of Migrated Data,0 Days,All,4
2016FA,Business-B6006,,Current Enrollment,0 Days,All,146
2016FA,Child Development--B6003,,Wsch/Ftef,0 Days,All,502.5
2016FA,Child Development--B6003,,Success Rate,0 Days,All,0.807407407
2016FA,Child Development--B6003,,Sec. Count,0 Days,All,4
2016FA,Child Development--B6003,,Retention Rate,0 Days,All,0.918518519
2016FA,Child Development--B6003,,Number Retained,0 Days,All,124
2016FA,Child Development--B6003,,Ftes/Ftef,0 Days,All,16.75
2016FA,Child Development--B6003,,Current Fill Rate,0 Days,All,0.788235294
2016FA,Child Development--B6003,,Census Fill Rate,0 Days,All,0.788235294
2016FA,Child Development--B6003,,Census Enrollment,0 Days,All,134
2016FA,Child Development--B6003,,Number Successful,0 Days,All,109
2016FA,Child Development--B6003,,Ftef,0 Days,All,0.8
2016FA,Child Development--B6003,,Ftes,0 Days,All,13.4
2016FA,Child Development--B6003,,Enrollment Capacity,0 Days,All,170
2016FA,Child Development--B6003,,Count of Migrated Data,0 Days,All,4
2016FA,Child Development--B6003,,Current Enrollment,0 Days,All,134
2016FA,Child Development--L6003,,Wsch/Ftef,0 Days,All,534.044016506
2016FA,Child Development--L6003,,Success Rate,0 Days,All,0.715090090
2016FA,Child Development--L6003,,Sec. Count,0 Days,All,27
2016FA,Child Development--L6003,,Retention Rate,0 Days,All,0.804054054
2016FA,Child Development--L6003,,Number Retained,0 Days,All,714
2016FA,Child Development--L6003,,Ftes/Ftef,0 Days,All,17.854195323
2016FA,Child Development--L6003,,Current Fill Rate,0 Days,All,0.838420108
2016FA,Child Development--L6003,,Census Fill Rate,0 Days,All,0.838420108
2016FA,Child Development--L6003,,Census Enrollment,0 Days,All,934
2016FA,Child Development--L6003,,Number Successful,0 Days,All,635
2016FA,Child Development--L6003,,Ftef,0 Days,All,5.816
2016FA,Child Development--L6003,,Ftes,0 Days,All,103.84
2016FA,Child Development--L6003,,Enrollment Capacity,0 Days,All,1114
2016FA,Child Development--L6003,,Count of Migrated Data,0 Days,All,27
2016FA,Child Development--L6003,,Current Enrollment,0 Days,All,934
2016FA,Communication--B5011,,Wsch/Ftef,0 Days,All,451.875
2016FA,Communication--B5011,,Success Rate,0 Days,All,0.843881857
2016FA,Communication--B5011,,Sec. Count,0 Days,All,8
2016FA,Communication--B5011,,Retention Rate,0 Days,All,0.911392405
2016FA,Communication--B5011,,Number Retained,0 Days,All,216
2016FA,Communication--B5011,,Ftes/Ftef,0 Days,All,15.08125
2016FA,Communication--B5011,,Current Fill Rate,0 Days,All,0.942622951
2016FA,Communication--B5011,,Census Fill Rate,0 Days,All,0.942622951
2016FA,Communication--B5011,,Census Enrollment,0 Days,All,230
2016FA,Communication--B5011,,Number Successful,0 Days,All,200
2016FA,Communication--B5011,,Ftef,0 Days,All,1.6
2016FA,Communication--B5011,,Ftes,0 Days,All,24.13
2016FA,Communication--B5011,,Enrollment Capacity,0 Days,All,244
2016FA,Communication--B5011,,Count of Migrated Data,0 Days,All,8
2016FA,Communication--B5011,,Current Enrollment,0 Days,All,230
2016FA,Communication--L5011,,Wsch/Ftef,0 Days,All,372.722796652
2016FA,Communication--L5011,,Success Rate,0 Days,All,0.807086614
2016FA,Communication--L5011,,Sec. Count,0 Days,All,29
2016FA,Communication--L5011,,Retention Rate,0 Days,All,0.909448819
2016FA,Communication--L5011,,Number Retained,0 Days,All,462
2016FA,Communication--L5011,,Ftes/Ftef,0 Days,All,12.422451994
2016FA,Communication--L5011,,Current Fill Rate,0 Days,All,0.630081301
2016FA,Communication--L5011,,Census Fill Rate,0 Days,All,0.630081301
2016FA,Communication--L5011,,Census Enrollment,0 Days,All,465
2016FA,Communication--L5011,,Number Successful,0 Days,All,410
2016FA,Communication--L5011,,Ftef,0 Days,All,4.062
2016FA,Communication--L5011,,Ftes,0 Days,All,50.46
2016FA,Communication--L5011,,Enrollment Capacity,0 Days,All,738
2016FA,Communication--L5011,,Count of Migrated Data,0 Days,All,29
2016FA,Communication--L5011,,Current Enrollment,0 Days,All,465
2016FA,Computer Science--B6007,,Wsch/Ftef,0 Days,All,372.5
2016FA,Computer Science--B6007,,Success Rate,0 Days,All,0.841463415
2016FA,Computer Science--B6007,,Sec. Count,0 Days,All,4
2016FA,Computer Science--B6007,,Retention Rate,0 Days,All,0.951219512
2016FA,Computer Science--B6007,,Number Retained,0 Days,All,78
2016FA,Computer Science--B6007,,Ftes/Ftef,0 Days,All,12.4125
2016FA,Computer Science--B6007,,Current Fill Rate,0 Days,All,0.5125
2016FA,Computer Science--B6007,,Census Fill Rate,0 Days,All,0.5125
2016FA,Computer Science--B6007,,Census Enrollment,0 Days,All,82
2016FA,Computer Science--B6007,,Number Successful,0 Days,All,69
2016FA,Computer Science--B6007,,Ftef,0 Days,All,0.8
2016FA,Computer Science--B6007,,Ftes,0 Days,All,9.93
2016FA,Computer Science--B6007,,Enrollment Capacity,0 Days,All,160
2016FA,Computer Science--B6007,,Count of Migrated Data,0 Days,All,4
2016FA,Computer Science--B6007,,Current Enrollment,0 Days,All,82
2016FA,Computer Science--L6007,,Wsch/Ftef,0 Days,All,613.619898575
2016FA,Computer Science--L6007,,Success Rate,0 Days,All,0.624561404
2016FA,Computer Science--L6007,,Sec. Count,0 Days,All,17
2016FA,Computer Science--L6007,,Retention Rate,0 Days,All,0.756140351
2016FA,Computer Science--L6007,,Number Retained,0 Days,All,431
2016FA,Computer Science--L6007,,Ftes/Ftef,0 Days,All,19.828543830
2016FA,Computer Science--L6007,,Current Fill Rate,0 Days,All,0.905109489
2016FA,Computer Science--L6007,,Census Fill Rate,0 Days,All,0.905109489
2016FA,Computer Science--L6007,,Census Enrollment,0 Days,All,620
2016FA,Computer Science--L6007,,Number Successful,0 Days,All,356
2016FA,Computer Science--L6007,,Ftef,0 Days,All,4.141
2016FA,Computer Science--L6007,,Ftes,0 Days,All,82.11
2016FA,Computer Science--L6007,,Enrollment Capacity,0 Days,All,685
2016FA,Computer Science--L6007,,Count of Migrated Data,0 Days,All,17
2016FA,Computer Science--L6007,,Current Enrollment,0 Days,All,620
2016FA,Counseling--B7001,,Wsch/Ftef,0 Days,All,271.126760563
2016FA,Counseling--B7001,,Success Rate,0 Days,All,0.676923077
2016FA,Counseling--B7001,,Sec. Count,0 Days,All,4
2016FA,Counseling--B7001,,Retention Rate,0 Days,All,0.876923077
2016FA,Counseling--B7001,,Number Retained,0 Days,All,57
2016FA,Counseling--B7001,,Ftes/Ftef,0 Days,All,8.838028169
2016FA,Counseling--B7001,,Current Fill Rate,0 Days,All,0.525925926
