Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2020FA,Humanistic Studies--L5014,,Census Fill Rate,0 Days,All,0.831404959
2020FA,Humanistic Studies--L5014,,Census Enrollment,0 Days,All,503
2020FA,Humanistic Studies--L5014,,Number Successful,0 Days,All,348
2020FA,Humanistic Studies--L5014,,Ftef,0 Days,All,3
2020FA,Humanistic Studies--L5014,,Ftes,0 Days,All,53.76
2020FA,Humanistic Studies--L5014,,Enrollment Capacity,0 Days,All,605
2020FA,Humanistic Studies--L5014,,Count of Migrated Data,0 Days,All,16
2020FA,Humanistic Studies--L5014,,Current Enrollment,0 Days,All,503
2020FA,Industrial Technology--L6012,,Wsch/Ftef,0 Days,All,423.817070410
2020FA,Industrial Technology--L6012,,Success Rate,0 Days,All,0.804177546
2020FA,Industrial Technology--L6012,,Sec. Count,0 Days,All,22
2020FA,Industrial Technology--L6012,,Retention Rate,0 Days,All,0.911227154
2020FA,Industrial Technology--L6012,,Number Retained,0 Days,All,352.644908616
2020FA,Industrial Technology--L6012,,Ftes/Ftef,0 Days,All,13.271451211
2020FA,Industrial Technology--L6012,,Current Fill Rate,0 Days,All,0.262820513
2020FA,Industrial Technology--L6012,,Census Fill Rate,0 Days,All,0.262820513
2020FA,Industrial Technology--L6012,,Census Enrollment,0 Days,All,451
2020FA,Industrial Technology--L6012,,Number Successful,0 Days,All,308
2020FA,Industrial Technology--L6012,,Ftef,0 Days,All,4.417
2020FA,Industrial Technology--L6012,,Ftes,0 Days,All,58.62
2020FA,Industrial Technology--L6012,,Enrollment Capacity,0 Days,All,1716
2020FA,Industrial Technology--L6012,,Count of Migrated Data,0 Days,All,22
2020FA,Industrial Technology--L6012,,Current Enrollment,0 Days,All,451
2020FA,Intercollegiate Athletics--L7005,,Wsch/Ftef,0 Days,All,626.000762486
2020FA,Intercollegiate Athletics--L7005,,Success Rate,0 Days,All,0.953177258
2020FA,Intercollegiate Athletics--L7005,,Sec. Count,0 Days,All,11
2020FA,Intercollegiate Athletics--L7005,,Retention Rate,0 Days,All,0.979933110
2020FA,Intercollegiate Athletics--L7005,,Number Retained,0 Days,All,295.939799331
2020FA,Intercollegiate Athletics--L7005,,Ftes/Ftef,0 Days,All,19.130766298
2020FA,Intercollegiate Athletics--L7005,,Current Fill Rate,0 Days,All,0.506422018
2020FA,Intercollegiate Athletics--L7005,,Census Fill Rate,0 Days,All,0.506422018
2020FA,Intercollegiate Athletics--L7005,,Census Enrollment,0 Days,All,276
2020FA,Intercollegiate Athletics--L7005,,Number Successful,0 Days,All,285
2020FA,Intercollegiate Athletics--L7005,,Ftef,0 Days,All,2.623
2020FA,Intercollegiate Athletics--L7005,,Ftes,0 Days,All,50.18
2020FA,Intercollegiate Athletics--L7005,,Enrollment Capacity,0 Days,All,545
2020FA,Intercollegiate Athletics--L7005,,Count of Migrated Data,0 Days,All,11
2020FA,Intercollegiate Athletics--L7005,,Current Enrollment,0 Days,All,276
2020FA,Mathematics--B5009,,Wsch/Ftef,0 Days,All,547.543433589
2020FA,Mathematics--B5009,,Success Rate,0 Days,All,0.635722679
2020FA,Mathematics--B5009,,Sec. Count,0 Days,All,32
2020FA,Mathematics--B5009,,Retention Rate,0 Days,All,0.836662750
2020FA,Mathematics--B5009,,Number Retained,0 Days,All,756.343125734
2020FA,Mathematics--B5009,,Ftes/Ftef,0 Days,All,17.305249393
2020FA,Mathematics--B5009,,Current Fill Rate,0 Days,All,0.450495050
2020FA,Mathematics--B5009,,Census Fill Rate,0 Days,All,0.450495050
2020FA,Mathematics--B5009,,Census Enrollment,0 Days,All,910
2020FA,Mathematics--B5009,,Number Successful,0 Days,All,541
2020FA,Mathematics--B5009,,Ftef,0 Days,All,10.706
2020FA,Mathematics--B5009,,Ftes,0 Days,All,185.27
2020FA,Mathematics--B5009,,Enrollment Capacity,0 Days,All,2020
2020FA,Mathematics--B5009,,Count of Migrated Data,0 Days,All,32
2020FA,Mathematics--B5009,,Current Enrollment,0 Days,All,910
2020FA,Mathematics--L5009,,Wsch/Ftef,0 Days,All,565.070069023
2020FA,Mathematics--L5009,,Success Rate,0 Days,All,0.636063771
2020FA,Mathematics--L5009,,Sec. Count,0 Days,All,73
2020FA,Mathematics--L5009,,Retention Rate,0 Days,All,0.862561847
2020FA,Mathematics--L5009,,Number Retained,0 Days,All,1645.768004398
2020FA,Mathematics--L5009,,Ftes/Ftef,0 Days,All,17.862371889
2020FA,Mathematics--L5009,,Current Fill Rate,0 Days,All,0.622461171
2020FA,Mathematics--L5009,,Census Fill Rate,0 Days,All,0.622461171
2020FA,Mathematics--L5009,,Census Enrollment,0 Days,All,2084
2020FA,Mathematics--L5009,,Number Successful,0 Days,All,1157
2020FA,Mathematics--L5009,,Ftef,0 Days,All,23.905
2020FA,Mathematics--L5009,,Ftes,0 Days,All,427
2020FA,Mathematics--L5009,,Enrollment Capacity,0 Days,All,3348
2020FA,Mathematics--L5009,,Count of Migrated Data,0 Days,All,73
2020FA,Mathematics--L5009,,Current Enrollment,0 Days,All,2084
2020FA,Music-L5003,,Wsch/Ftef,0 Days,All,366.064710309
2020FA,Music-L5003,,Success Rate,0 Days,All,0.793357934
2020FA,Music-L5003,,Sec. Count,0 Days,All,31
2020FA,Music-L5003,,Retention Rate,0 Days,All,0.939114391
2020FA,Music-L5003,,Number Retained,0 Days,All,521.208487085
2020FA,Music-L5003,,Ftes/Ftef,0 Days,All,11.115500376
2020FA,Music-L5003,,Current Fill Rate,0 Days,All,0.471571906
2020FA,Music-L5003,,Census Fill Rate,0 Days,All,0.471571906
2020FA,Music-L5003,,Census Enrollment,0 Days,All,564
2020FA,Music-L5003,,Number Successful,0 Days,All,430
2020FA,Music-L5003,,Ftef,0 Days,All,5.316
2020FA,Music-L5003,,Ftes,0 Days,All,59.09
2020FA,Music-L5003,,Enrollment Capacity,0 Days,All,1196
2020FA,Music-L5003,,Count of Migrated Data,0 Days,All,31
2020FA,Music-L5003,,Current Enrollment,0 Days,All,564
2020FA,Nursing--L6004,,Wsch/Ftef,0 Days,All,248.877333964
2020FA,Nursing--L6004,,Success Rate,0 Days,All,0.883190883
2020FA,Nursing--L6004,,Sec. Count,0 Days,All,14
2020FA,Nursing--L6004,,Retention Rate,0 Days,All,0.931623932
2020FA,Nursing--L6004,,Number Retained,0 Days,All,333.521367521
2020FA,Nursing--L6004,,Ftes/Ftef,0 Days,All,7.553769794
2020FA,Nursing--L6004,,Current Fill Rate,0 Days,All,0.896073903
2020FA,Nursing--L6004,,Census Fill Rate,0 Days,All,0.896073903
2020FA,Nursing--L6004,,Census Enrollment,0 Days,All,388
2020FA,Nursing--L6004,,Number Successful,0 Days,All,310
2020FA,Nursing--L6004,,Ftef,0 Days,All,8.462
2020FA,Nursing--L6004,,Ftes,0 Days,All,63.92
2020FA,Nursing--L6004,,Enrollment Capacity,0 Days,All,433
2020FA,Nursing--L6004,,Count of Migrated Data,0 Days,All,14
2020FA,Nursing--L6004,,Current Enrollment,0 Days,All,388
2020FA,Physical Education--L5018,,Wsch/Ftef,0 Days,All,478.866697631
2020FA,Physical Education--L5018,,Success Rate,0 Days,All,0.814569536
2020FA,Physical Education--L5018,,Sec. Count,0 Days,All,17
2020FA,Physical Education--L5018,,Retention Rate,0 Days,All,0.947019868
2020FA,Physical Education--L5018,,Number Retained,0 Days,All,291.682119205
2020FA,Physical Education--L5018,,Ftes/Ftef,0 Days,All,14.756154203
2020FA,Physical Education--L5018,,Current Fill Rate,0 Days,All,0.498387097
2020FA,Physical Education--L5018,,Census Fill Rate,0 Days,All,0.498387097
2020FA,Physical Education--L5018,,Census Enrollment,0 Days,All,309
2020FA,Physical Education--L5018,,Number Successful,0 Days,All,246
2020FA,Physical Education--L5018,,Ftef,0 Days,All,2.153
2020FA,Physical Education--L5018,,Ftes,0 Days,All,31.77
2020FA,Physical Education--L5018,,Enrollment Capacity,0 Days,All,620
2020FA,Physical Education--L5018,,Count of Migrated Data,0 Days,All,17
2020FA,Physical Education--L5018,,Current Enrollment,0 Days,All,309
2020FA,Physical Science--B5008,,Wsch/Ftef,0 Days,All,532.286995516
2020FA,Physical Science--B5008,,Success Rate,0 Days,All,0.842809365
2020FA,Physical Science--B5008,,Sec. Count,0 Days,All,10
2020FA,Physical Science--B5008,,Retention Rate,0 Days,All,0.892976589
2020FA,Physical Science--B5008,,Number Retained,0 Days,All,280.394648829
2020FA,Physical Science--B5008,,Ftes/Ftef,0 Days,All,16.827354260
2020FA,Physical Science--B5008,,Current Fill Rate,0 Days,All,0.941717791
2020FA,Physical Science--B5008,,Census Fill Rate,0 Days,All,0.941717791
2020FA,Physical Science--B5008,,Census Enrollment,0 Days,All,307
2020FA,Physical Science--B5008,,Number Successful,0 Days,All,252
2020FA,Physical Science--B5008,,Ftef,0 Days,All,4.46
2020FA,Physical Science--B5008,,Ftes,0 Days,All,75.05
2020FA,Physical Science--B5008,,Enrollment Capacity,0 Days,All,326
2020FA,Physical Science--B5008,,Count of Migrated Data,0 Days,All,10
2020FA,Physical Science--B5008,,Current Enrollment,0 Days,All,307
2020FA,Physical Science--L5008,,Wsch/Ftef,0 Days,All,524.948144734
2020FA,Physical Science--L5008,,Success Rate,0 Days,All,0.795774648
2020FA,Physical Science--L5008,,Sec. Count,0 Days,All,48
2020FA,Physical Science--L5008,,Retention Rate,0 Days,All,0.911267606
2020FA,Physical Science--L5008,,Number Retained,0 Days,All,1366.901408451
2020FA,Physical Science--L5008,,Ftes/Ftef,0 Days,All,16.593685181
2020FA,Physical Science--L5008,,Current Fill Rate,0 Days,All,0.885078219
2020FA,Physical Science--L5008,,Census Fill Rate,0 Days,All,0.885078219
2020FA,Physical Science--L5008,,Census Enrollment,0 Days,All,1471
2020FA,Physical Science--L5008,,Number Successful,0 Days,All,1130
2020FA,Physical Science--L5008,,Ftef,0 Days,All,17.356
2020FA,Physical Science--L5008,,Ftes,0 Days,All,288
2020FA,Physical Science--L5008,,Enrollment Capacity,0 Days,All,1662
2020FA,Physical Science--L5008,,Count of Migrated Data,0 Days,All,48
2020FA,Physical Science--L5008,,Current Enrollment,0 Days,All,1471
2020FA,Recording Arts--L5006,,Wsch/Ftef,0 Days,All,253.136200717
2020FA,Recording Arts--L5006,,Success Rate,0 Days,All,0.732142857
2020FA,Recording Arts--L5006,,Sec. Count,0 Days,All,9
2020FA,Recording Arts--L5006,,Retention Rate,0 Days,All,0.901785714
2020FA,Recording Arts--L5006,,Number Retained,0 Days,All,103.705357143
2020FA,Recording Arts--L5006,,Ftes/Ftef,0 Days,All,7.818100358
2020FA,Recording Arts--L5006,,Current Fill Rate,0 Days,All,0.392982456
2020FA,Recording Arts--L5006,,Census Fill Rate,0 Days,All,0.392982456
2020FA,Recording Arts--L5006,,Census Enrollment,0 Days,All,112
2020FA,Recording Arts--L5006,,Number Successful,0 Days,All,82
2020FA,Recording Arts--L5006,,Ftef,0 Days,All,2.232
2020FA,Recording Arts--L5006,,Ftes,0 Days,All,17.45
2020FA,Recording Arts--L5006,,Enrollment Capacity,0 Days,All,285
2020FA,Recording Arts--L5006,,Count of Migrated Data,0 Days,All,9
2020FA,Recording Arts--L5006,,Current Enrollment,0 Days,All,112
2020FA,Social Science--B5007,,Wsch/Ftef,0 Days,All,672.857142857
2020FA,Social Science--B5007,,Success Rate,0 Days,All,0.693617021
2020FA,Social Science--B5007,,Sec. Count,0 Days,All,7
2020FA,Social Science--B5007,,Retention Rate,0 Days,All,0.927659574
2020FA,Social Science--B5007,,Number Retained,0 Days,All,233.770212766
2020FA,Social Science--B5007,,Ftes/Ftef,0 Days,All,21.271428571
2020FA,Social Science--B5007,,Current Fill Rate,0 Days,All,0.971929825
2020FA,Social Science--B5007,,Census Fill Rate,0 Days,All,0.971929825
2020FA,Social Science--B5007,,Census Enrollment,0 Days,All,277
2020FA,Social Science--B5007,,Number Successful,0 Days,All,163
2020FA,Social Science--B5007,,Ftef,0 Days,All,1.4
2020FA,Social Science--B5007,,Ftes,0 Days,All,29.78
2020FA,Social Science--B5007,,Enrollment Capacity,0 Days,All,285
2020FA,Social Science--B5007,,Count of Migrated Data,0 Days,All,7
2020FA,Social Science--B5007,,Current Enrollment,0 Days,All,277
2020FA,Social Science--L5007,,Wsch/Ftef,0 Days,All,645.638297872
2020FA,Social Science--L5007,,Success Rate,0 Days,All,0.746666667
2020FA,Social Science--L5007,,Sec. Count,0 Days,All,47
2020FA,Social Science--L5007,,Retention Rate,0 Days,All,0.938181818
2020FA,Social Science--L5007,,Number Retained,0 Days,All,1616.487272727
2020FA,Social Science--L5007,,Ftes/Ftef,0 Days,All,20.090425532
2020FA,Social Science--L5007,,Current Fill Rate,0 Days,All,0.927941939
2020FA,Social Science--L5007,,Census Fill Rate,0 Days,All,0.927941939
2020FA,Social Science--L5007,,Census Enrollment,0 Days,All,1790
2020FA,Social Science--L5007,,Number Successful,0 Days,All,1232
2020FA,Social Science--L5007,,Ftef,0 Days,All,9.4
2020FA,Social Science--L5007,,Ftes,0 Days,All,188.85
2020FA,Social Science--L5007,,Enrollment Capacity,0 Days,All,1929
2020FA,Social Science--L5007,,Count of Migrated Data,0 Days,All,47
2020FA,Social Science--L5007,,Current Enrollment,0 Days,All,1790
2020FA,Vocational Technology--L6011,,Wsch/Ftef,0 Days,All,465.172413793
2020FA,Vocational Technology--L6011,,Success Rate,0 Days,All,0.674772036
2020FA,Vocational Technology--L6011,,Sec. Count,0 Days,All,54
2020FA,Vocational Technology--L6011,,Retention Rate,0 Days,All,0.927051672
2020FA,Vocational Technology--L6011,,Number Retained,0 Days,All,313.343465046
2020FA,Vocational Technology--L6011,,Ftes/Ftef,0 Days,All,14.698275862
2020FA,Vocational Technology--L6011,,Current Fill Rate,0 Days,All,0.244157442
2020FA,Vocational Technology--L6011,,Census Fill Rate,0 Days,All,0.244157442
2020FA,Vocational Technology--L6011,,Census Enrollment,0 Days,All,397
2020FA,Vocational Technology--L6011,,Number Successful,0 Days,All,222
2020FA,Vocational Technology--L6011,,Ftef,0 Days,All,5.8
2020FA,Vocational Technology--L6011,,Ftes,0 Days,All,85.25
2020FA,Vocational Technology--L6011,,Enrollment Capacity,0 Days,All,1626
2020FA,Vocational Technology--L6011,,Count of Migrated Data,0 Days,All,54
2020FA,Vocational Technology--L6011,,Current Enrollment,0 Days,All,397
2020FA,Work Experience--L7004,,Wsch/Ftef,0 Days,All,3463.855421687
2020FA,Work Experience--L7004,,Success Rate,0 Days,All,0.838028169
2020FA,Work Experience--L7004,,Sec. Count,0 Days,All,17
2020FA,Work Experience--L7004,,Retention Rate,0 Days,All,0.908450704
2020FA,Work Experience--L7004,,Number Retained,0 Days,All,129
2020FA,Work Experience--L7004,,Ftes/Ftef,0 Days,All,64.879518072
2020FA,Work Experience--L7004,,Current Fill Rate,0 Days,All,0.268498943
2020FA,Work Experience--L7004,,Census Fill Rate,0 Days,All,0.268498943
2020FA,Work Experience--L7004,,Census Enrollment,0 Days,All,127
2020FA,Work Experience--L7004,,Number Successful,0 Days,All,119
2020FA,Work Experience--L7004,,Ftef,0 Days,All,0.166
2020FA,Work Experience--L7004,,Ftes,0 Days,All,10.77
2020FA,Work Experience--L7004,,Enrollment Capacity,0 Days,All,473
2020FA,Work Experience--L7004,,Count of Migrated Data,0 Days,All,17
2020FA,Work Experience--L7004,,Current Enrollment,0 Days,All,127
2020SP,Administration of Justice-Off--L8001,,Wsch/Ftef,0 Days,All,411.302068162
2020SP,Administration of Justice-Off--L8001,,Success Rate,0 Days,All,1
2020SP,Administration of Justice-Off--L8001,,Sec. Count,0 Days,All,1
2020SP,Administration of Justice-Off--L8001,,Retention Rate,0 Days,All,1
2020SP,Administration of Justice-Off--L8001,,Number Retained,0 Days,All,44
2020SP,Administration of Justice-Off--L8001,,Ftes/Ftef,0 Days,All,20.372851733
2020SP,Administration of Justice-Off--L8001,,Current Fill Rate,0 Days,All,0.654545455
2020SP,Administration of Justice-Off--L8001,,Census Fill Rate,0 Days,All,0.654545455
2020SP,Administration of Justice-Off--L8001,,Census Enrollment,0 Days,All,36
2020SP,Administration of Justice-Off--L8001,,Number Successful,0 Days,All,44
2020SP,Administration of Justice-Off--L8001,,Ftef,0 Days,All,3.433
2020SP,Administration of Justice-Off--L8001,,Ftes,0 Days,All,69.94
2020SP,Administration of Justice-Off--L8001,,Enrollment Capacity,0 Days,All,55
2020SP,Administration of Justice-Off--L8001,,Count of Migrated Data,0 Days,All,1
2020SP,Administration of Justice-Off--L8001,,Current Enrollment,0 Days,All,36
2020SP,Allied Health--L6002,,Wsch/Ftef,0 Days,All,854.237288136
2020SP,Allied Health--L6002,,Success Rate,0 Days,All,0.682819383
2020SP,Allied Health--L6002,,Sec. Count,0 Days,All,20
2020SP,Allied Health--L6002,,Retention Rate,0 Days,All,0.766519824
2020SP,Allied Health--L6002,,Number Retained,0 Days,All,354.898678414
2020SP,Allied Health--L6002,,Ftes/Ftef,0 Days,All,18.080123267
2020SP,Allied Health--L6002,,Current Fill Rate,0 Days,All,0.752923977
2020SP,Allied Health--L6002,,Census Fill Rate,0 Days,All,0.752923977
2020SP,Allied Health--L6002,,Census Enrollment,0 Days,All,515
2020SP,Allied Health--L6002,,Number Successful,0 Days,All,310
2020SP,Allied Health--L6002,,Ftef,0 Days,All,3.245
2020SP,Allied Health--L6002,,Ftes,0 Days,All,58.67
2020SP,Allied Health--L6002,,Enrollment Capacity,0 Days,All,684
2020SP,Allied Health--L6002,,Count of Migrated Data,0 Days,All,20
2020SP,Allied Health--L6002,,Current Enrollment,0 Days,All,515
2020SP,Art--B5002,,Wsch/Ftef,0 Days,All,527.5
2020SP,Art--B5002,,Success Rate,0 Days,All,0.606299213
2020SP,Art--B5002,,Sec. Count,0 Days,All,4
2020SP,Art--B5002,,Retention Rate,0 Days,All,0.645669291
2020SP,Art--B5002,,Number Retained,0 Days,All,82
2020SP,Art--B5002,,Ftes/Ftef,0 Days,All,16.675
2020SP,Art--B5002,,Current Fill Rate,0 Days,All,0.733727811
2020SP,Art--B5002,,Census Fill Rate,0 Days,All,0.733727811
2020SP,Art--B5002,,Census Enrollment,0 Days,All,124
2020SP,Art--B5002,,Number Successful,0 Days,All,77
2020SP,Art--B5002,,Ftef,0 Days,All,0.8
2020SP,Art--B5002,,Ftes,0 Days,All,13.34
2020SP,Art--B5002,,Enrollment Capacity,0 Days,All,169
2020SP,Art--B5002,,Count of Migrated Data,0 Days,All,4
2020SP,Art--B5002,,Current Enrollment,0 Days,All,124
2020SP,Art--L5002,,Wsch/Ftef,0 Days,All,581.687855018
2020SP,Art--L5002,,Success Rate,0 Days,All,0.630188679
2020SP,Art--L5002,,Sec. Count,0 Days,All,34
2020SP,Art--L5002,,Retention Rate,0 Days,All,0.683018868
2020SP,Art--L5002,,Number Retained,0 Days,All,543
2020SP,Art--L5002,,Ftes/Ftef,0 Days,All,18.395996754
2020SP,Art--L5002,,Current Fill Rate,0 Days,All,0.728608470
2020SP,Art--L5002,,Census Fill Rate,0 Days,All,0.728608470
2020SP,Art--L5002,,Census Enrollment,0 Days,All,843
2020SP,Art--L5002,,Number Successful,0 Days,All,501
2020SP,Art--L5002,,Ftef,0 Days,All,7.394
2020SP,Art--L5002,,Ftes,0 Days,All,136.02
2020SP,Art--L5002,,Enrollment Capacity,0 Days,All,1157
2020SP,Art--L5002,,Count of Migrated Data,0 Days,All,34
2020SP,Art--L5002,,Current Enrollment,0 Days,All,843
2020SP,Behavioral Science--B5005,,Wsch/Ftef,0 Days,All,639.583333333
2020SP,Behavioral Science--B5005,,Success Rate,0 Days,All,0.794117647
2020SP,Behavioral Science--B5005,,Sec. Count,0 Days,All,12
2020SP,Behavioral Science--B5005,,Retention Rate,0 Days,All,0.897058824
2020SP,Behavioral Science--B5005,,Number Retained,0 Days,All,427
2020SP,Behavioral Science--B5005,,Ftes/Ftef,0 Days,All,20.208333333
2020SP,Behavioral Science--B5005,,Current Fill Rate,0 Days,All,0.835185185
2020SP,Behavioral Science--B5005,,Census Fill Rate,0 Days,All,0.835185185
2020SP,Behavioral Science--B5005,,Census Enrollment,0 Days,All,451
2020SP,Behavioral Science--B5005,,Number Successful,0 Days,All,378
2020SP,Behavioral Science--B5005,,Ftef,0 Days,All,2.4
2020SP,Behavioral Science--B5005,,Ftes,0 Days,All,48.5
2020SP,Behavioral Science--B5005,,Enrollment Capacity,0 Days,All,540
2020SP,Behavioral Science--B5005,,Count of Migrated Data,0 Days,All,12
2020SP,Behavioral Science--B5005,,Current Enrollment,0 Days,All,451
2020SP,Behavioral Science--L5005,,Wsch/Ftef,0 Days,All,711.206896552
2020SP,Behavioral Science--L5005,,Success Rate,0 Days,All,0.736677116
2020SP,Behavioral Science--L5005,,Sec. Count,0 Days,All,29
2020SP,Behavioral Science--L5005,,Retention Rate,0 Days,All,0.829153605
2020SP,Behavioral Science--L5005,,Number Retained,0 Days,All,1060.487460815
2020SP,Behavioral Science--L5005,,Ftes/Ftef,0 Days,All,22.487931034
2020SP,Behavioral Science--L5005,,Current Fill Rate,0 Days,All,0.938996139
2020SP,Behavioral Science--L5005,,Census Fill Rate,0 Days,All,0.938996139
2020SP,Behavioral Science--L5005,,Census Enrollment,0 Days,All,1216
2020SP,Behavioral Science--L5005,,Number Successful,0 Days,All,940
2020SP,Behavioral Science--L5005,,Ftef,0 Days,All,5.8
2020SP,Behavioral Science--L5005,,Ftes,0 Days,All,130.43
2020SP,Behavioral Science--L5005,,Enrollment Capacity,0 Days,All,1295
2020SP,Behavioral Science--L5005,,Count of Migrated Data,0 Days,All,29
2020SP,Behavioral Science--L5005,,Current Enrollment,0 Days,All,1216
2020SP,Biological Science--B5010,,Wsch/Ftef,0 Days,All,549.583333333
2020SP,Biological Science--B5010,,Success Rate,0 Days,All,0.792746114
2020SP,Biological Science--B5010,,Sec. Count,0 Days,All,6
2020SP,Biological Science--B5010,,Retention Rate,0 Days,All,0.839378238
2020SP,Biological Science--B5010,,Number Retained,0 Days,All,162
2020SP,Biological Science--B5010,,Ftes/Ftef,0 Days,All,17.379166667
2020SP,Biological Science--B5010,,Current Fill Rate,0 Days,All,0.873239437
2020SP,Biological Science--B5010,,Census Fill Rate,0 Days,All,0.873239437
2020SP,Biological Science--B5010,,Census Enrollment,0 Days,All,186
2020SP,Biological Science--B5010,,Number Successful,0 Days,All,153
2020SP,Biological Science--B5010,,Ftef,0 Days,All,2.4
2020SP,Biological Science--B5010,,Ftes,0 Days,All,41.71
2020SP,Biological Science--B5010,,Enrollment Capacity,0 Days,All,213
2020SP,Biological Science--B5010,,Count of Migrated Data,0 Days,All,6
2020SP,Biological Science--B5010,,Current Enrollment,0 Days,All,186
2020SP,Biological Sciences--L5010,,Wsch/Ftef,0 Days,All,574.317690948
2020SP,Biological Sciences--L5010,,Success Rate,0 Days,All,0.761102603
2020SP,Biological Sciences--L5010,,Sec. Count,0 Days,All,36
2020SP,Biological Sciences--L5010,,Retention Rate,0 Days,All,0.830781011
2020SP,Biological Sciences--L5010,,Number Retained,0 Days,All,1085
2020SP,Biological Sciences--L5010,,Ftes/Ftef,0 Days,All,18.087571176
2020SP,Biological Sciences--L5010,,Current Fill Rate,0 Days,All,0.971728595
2020SP,Biological Sciences--L5010,,Census Fill Rate,0 Days,All,0.971728595
2020SP,Biological Sciences--L5010,,Census Enrollment,0 Days,All,1203
2020SP,Biological Sciences--L5010,,Number Successful,0 Days,All,994
2020SP,Biological Sciences--L5010,,Ftef,0 Days,All,15.279
2020SP,Biological Sciences--L5010,,Ftes,0 Days,All,276.36
2020SP,Biological Sciences--L5010,,Enrollment Capacity,0 Days,All,1238
2020SP,Biological Sciences--L5010,,Count of Migrated Data,0 Days,All,36
2020SP,Biological Sciences--L5010,,Current Enrollment,0 Days,All,1203
2020SP,Business--L6006,,Wsch/Ftef,0 Days,All,582.811784460
2020SP,Business--L6006,,Success Rate,0 Days,All,0.637526652
2020SP,Business--L6006,,Sec. Count,0 Days,All,33
2020SP,Business--L6006,,Retention Rate,0 Days,All,0.721748401
2020SP,Business--L6006,,Number Retained,0 Days,All,677
2020SP,Business--L6006,,Ftes/Ftef,0 Days,All,17.229430621
2020SP,Business--L6006,,Current Fill Rate,0 Days,All,0.778882938
2020SP,Business--L6006,,Census Fill Rate,0 Days,All,0.778882938
2020SP,Business--L6006,,Census Enrollment,0 Days,All,1018
2020SP,Business--L6006,,Number Successful,0 Days,All,598
2020SP,Business--L6006,,Ftef,0 Days,All,6.551
2020SP,Business--L6006,,Ftes,0 Days,All,112.87
2020SP,Business--L6006,,Enrollment Capacity,0 Days,All,1307
2020SP,Business--L6006,,Count of Migrated Data,0 Days,All,33
2020SP,Business--L6006,,Current Enrollment,0 Days,All,1018
2020SP,Business-B6006,,Wsch/Ftef,0 Days,All,595
2020SP,Business-B6006,,Success Rate,0 Days,All,0.688524590
2020SP,Business-B6006,,Sec. Count,0 Days,All,2
2020SP,Business-B6006,,Retention Rate,0 Days,All,0.836065574
2020SP,Business-B6006,,Number Retained,0 Days,All,51
2020SP,Business-B6006,,Ftes/Ftef,0 Days,All,18.8
2020SP,Business-B6006,,Current Fill Rate,0 Days,All,0.777777778
2020SP,Business-B6006,,Census Fill Rate,0 Days,All,0.777777778
2020SP,Business-B6006,,Census Enrollment,0 Days,All,70
2020SP,Business-B6006,,Number Successful,0 Days,All,42
2020SP,Business-B6006,,Ftef,0 Days,All,0.4
2020SP,Business-B6006,,Ftes,0 Days,All,7.52
2020SP,Business-B6006,,Enrollment Capacity,0 Days,All,90
2020SP,Business-B6006,,Count of Migrated Data,0 Days,All,2
2020SP,Business-B6006,,Current Enrollment,0 Days,All,70
2020SP,Child Development--B6003,,Wsch/Ftef,0 Days,All,658.75
2020SP,Child Development--B6003,,Success Rate,0 Days,All,0.647058824
2020SP,Child Development--B6003,,Sec. Count,0 Days,All,4
2020SP,Child Development--B6003,,Retention Rate,0 Days,All,0.705882353
2020SP,Child Development--B6003,,Number Retained,0 Days,All,108
2020SP,Child Development--B6003,,Ftes/Ftef,0 Days,All,20.825
2020SP,Child Development--B6003,,Current Fill Rate,0 Days,All,0.885714286
2020SP,Child Development--B6003,,Census Fill Rate,0 Days,All,0.885714286
2020SP,Child Development--B6003,,Census Enrollment,0 Days,All,155
2020SP,Child Development--B6003,,Number Successful,0 Days,All,99
2020SP,Child Development--B6003,,Ftef,0 Days,All,0.8
2020SP,Child Development--B6003,,Ftes,0 Days,All,16.66
2020SP,Child Development--B6003,,Enrollment Capacity,0 Days,All,175
2020SP,Child Development--B6003,,Count of Migrated Data,0 Days,All,4
2020SP,Child Development--B6003,,Current Enrollment,0 Days,All,155
2020SP,Child Development--L6003,,Wsch/Ftef,0 Days,All,560.523631418
2020SP,Child Development--L6003,,Success Rate,0 Days,All,0.699654776
2020SP,Child Development--L6003,,Sec. Count,0 Days,All,28
2020SP,Child Development--L6003,,Retention Rate,0 Days,All,0.749136939
2020SP,Child Development--L6003,,Number Retained,0 Days,All,651
2020SP,Child Development--L6003,,Ftes/Ftef,0 Days,All,17.011220673
2020SP,Child Development--L6003,,Current Fill Rate,0 Days,All,0.788918206
2020SP,Child Development--L6003,,Census Fill Rate,0 Days,All,0.788918206
2020SP,Child Development--L6003,,Census Enrollment,0 Days,All,897
2020SP,Child Development--L6003,,Number Successful,0 Days,All,608
2020SP,Child Development--L6003,,Ftef,0 Days,All,5.882
2020SP,Child Development--L6003,,Ftes,0 Days,All,100.06
2020SP,Child Development--L6003,,Enrollment Capacity,0 Days,All,1137
2020SP,Child Development--L6003,,Count of Migrated Data,0 Days,All,28
2020SP,Child Development--L6003,,Current Enrollment,0 Days,All,897
2020SP,Communication--B5011,,Wsch/Ftef,0 Days,All,450.416666667
2020SP,Communication--B5011,,Success Rate,0 Days,All,0.754601227
